# CIRIS evidence registry — impl: tier (CIRISServer#155 / CIRISConstitution#17)
# The sibling spec-map manifest the Constitution's check_claims.py resolves
# cross-repo impl:CIRISServer#155 pointers against. Validated by tools/check_evidence.py:
# every path#symbol MUST resolve at the workspace-pinned crate version.
# Columns: decimal_id, claim_id, repo, path#symbol, crate@version
decimal_id	claim_id	repo	path#symbol	crate@version
2.1.1	CLM-forward-compatibility	—	—	open
2.2	CLM-conformance	CIRISServer	src/conformance.rs#require_op	ciris-server@main
2.3.1	CLM-subject_kind-subject-2	—	—	open
2.3.2.1	CLM-registry-canonical	—	—	open
2.4.1.1	CLM-withdraws	CIRISPersist	src/federation/admission.rs#resolve_withdraws_admission_rule	ciris-persist@v17.0.1
2.6.1.1	CLM-round-trip	CIRISVerify	src/ciris-verify-core/src/jcs.rs#verify_jcs_hybrid_signature	ciris-verify-core@v10.1.1
2.6.1.1.1	CLM-canonicalization-array	CIRISVerify	src/ciris-verify-core/src/operational_admit.rs#check_set_semantics_sorted	ciris-verify-core@v10.1.1
2.6.1.2	CLM-per-field	—	—	open
2.6.1.3	CLM-canonical	CIRISPersist	src/verify/canonical.rs#JcsCanonicalizer	ciris-persist@v17.0.1
2.6.1.4	CLM-worked	—	—	open
2.6.2	CLM-canonicalization	CIRISVerify	src/ciris-verify-core/src/skill_import.rs#check_canonical_rfc3339	ciris-verify-core@v10.1.1
2.6.3	CLM-canonicalization-hexadecimal	CIRISVerify	src/ciris-verify-core/src/skill_import.rs#check_canonical_hex64	ciris-verify-core@v10.1.1
2.6.4	CLM-policy-versioning	CIRISServer	src/conformance.rs#negotiate	ciris-server@main
2.6.5	CLM-references	—	—	open
2.6.6	CLM-canonicalization-cell	CIRISPersist	src/federation/location.rs#parse_canonical_cell	ciris-persist@v17.0.1
2.6.6.1	CLM-location	CIRISPersist	src/federation/location.rs#validate_location_cell	ciris-persist@v17.0.1
2.6.6.2	CLM-cell	CIRISPersist	src/federation/location.rs#h3_cell_contained	ciris-persist@v17.0.1
2.6.7	CLM-time	CIRISPersist	src/federation/operational.rs#check_skew_bound	ciris-persist@v17.0.1
2.6.8	CLM-key_id	CIRISServer	src/nodecode.rs#encode	ciris-server@main
2.6.9	CLM-conformance-language	—	—	open
3.1.2.1	CLM-provenance	—	—	open
3.1.9.1	CLM-contributions	CIRISPersist	src/federation/blobs.rs#holds_bytes_attestation_envelope	ciris-persist@v17.0.1
